Internal ID,Name,Display Name,Description,Product Group,Product Type,Class,Sub Category,Sub Category,Collection,Brand Name,Collection Name
112638,GH255820,"18"" Pillow - 613 Rain Flash Tangerine - knife edge","18"" Pillow - 613 Rain Flash Tangerine - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112640,GH255821,"18"" Pillow - 57 Interactive Tangerine - knife edge","18"" Pillow - 57 Interactive Tangerine - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112641,GH255822,"18"" Pillow - 331 Guardian Tangerine - knife edge","18"" Pillow - 331 Guardian Tangerine - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112642,GH255823,"18"" Pillow - 356 Impromptu Sunset - knife edge","18"" Pillow - 356 Impromptu Sunset - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112643,GH255824,"18"" Pillow - 417 Trop Silhouette Midnight - knife edge","18"" Pillow - 417 Trop Silhouette Midnight - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112644,GH255825,"18"" Pillow - 425 Zebra II Midnight - knife edge","18"" Pillow - 425 Zebra II Midnight - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112645,GH255826,"18"" Pillow - 397 Madura Shadow - knife edge","18"" Pillow - 397 Madura Shadow - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112646,GH255827,"18"" Pillow - 634 Tropics Sage - knife edge","18"" Pillow - 634 Tropics Sage - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112649,GH255828,"18"" Pillow - TB67 Cast Oasis - knife edge","18"" Pillow - TB67 Cast Oasis - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112648,GH255829,"18"" Pillow - TB69 Hybrid Sky - knife edge","18"" Pillow - TB69 Hybrid Sky - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112647,GH255830,"18"" Pillow - 39 Crimson - knife edge","18"" Pillow - 39 Crimson - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112650,GH255831,"18"" Pillow - 68 Cabana Stripe Cherry - knife edge","18"" Pillow - 68 Cabana Stripe Cherry - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112651,GH255832,"18"" Pillow - 448 Porter Stripe Flamingo - knife edge","18"" Pillow - 448 Porter Stripe Flamingo - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
112652,GH255833,"18"" Pillow - 62 Soulmate Tulip - knife edge","18"" Pillow - 62 Soulmate Tulip - knife edge",Textiles,Throw Pillows,Close-Out,Outdoor Accessories,Outdoor Accessories,,Thos Baker,
